? (nm);T (%);? (nm);OD
325.6;7.39776E-11;325.6;12.1309
325.8;2.35342E-11;325.8;12.6283
326;1.62892E-11;326;12.7881
326.2;1.69629E-11;326.2;12.7705
326.4;2.42047E-11;326.4;12.6161
326.6;4.7676E-11;326.6;12.3217
326.8;1.5449E-10;326.8;11.8111
327;2.51362E-09;327;10.5997
327.2;2.55211E-10;327.2;11.5931
327.4;4.73478E-11;327.4;12.3247
327.6;1.70451E-11;327.6;12.7684
327.8;8.25468E-12;327.8;13.0833
328;4.85736E-12;328;13.3136
328.2;3.322E-12;328.2;13.4786
328.4;2.57099E-12;328.4;13.5899
328.6;2.20851E-12;328.6;13.6559
328.8;2.06966E-12;328.8;13.6841
329;2.07587E-12;329;13.6828
329.2;2.18223E-12;329.2;13.6611
329.4;2.35288E-12;329.4;13.6284
329.6;2.5633E-12;329.6;13.5912
329.8;2.82098E-12;329.8;13.5496
330;3.18713E-12;330;13.4966
330.2;3.7949E-12;330.2;13.4208
330.4;4.91134E-12;330.4;13.3088
330.6;7.16308E-12;330.6;13.1449
330.8;1.23794E-11;330.8;12.9073
331;2.79126E-11;331;12.5542
331.2;1.07251E-10;331.2;11.9696
331.4;2.96756E-09;331.4;10.5276
331.6;2.79705E-10;331.6;11.5533
331.8;8.28896E-11;331.8;12.0815
332;5.03733E-11;332;12.2978
332.2;4.23545E-11;332.2;12.3731
332.4;4.3843E-11;332.4;12.3581
332.6;5.31129E-11;332.6;12.2748
332.8;7.30802E-11;332.8;12.1362
333;1.11122E-10;333;11.9542
333.2;1.79804E-10;333.2;11.7452
333.4;2.94103E-10;333.4;11.5315
333.6;4.66552E-10;333.6;11.3311
333.8;7.25939E-10;333.8;11.1391
334;1.19152E-09;334;10.9239
334.2;2.28876E-09;334.2;10.6404
334.4;5.98549E-09;334.4;10.2229
334.6;3.14847E-08;334.6;9.5019
334.8;1.31492E-06;334.8;7.8811
335;4.59515E-08;335;9.3377
335.2;2.10669E-08;335.2;9.6764
335.4;1.76157E-08;335.4;9.7541
335.6;2.07922E-08;335.6;9.6821
335.8;3.26062E-08;335.8;9.4867
336;6.93426E-08;336;9.159
336.2;2.27667E-07;336.2;8.6427
336.4;2.04268E-06;336.4;7.6898
336.6;9.53674E-06;336.6;7.0206
336.8;1.40702E-06;336.8;7.8517
337;9.73644E-07;337;8.0116
337.2;1.14314E-06;337.2;7.9419
337.4;1.88278E-06;337.4;7.7252
337.6;4.15336E-06;337.6;7.3816
337.8;1.29599E-05;337.8;6.8874
338;8.89201E-05;338;6.051
338.2;0.000693426;338.2;5.159
338.4;4.37321E-05;338.4;6.3592
338.6;1.77542E-05;338.6;6.7507
338.8;1.2428E-05;338.8;6.9056
339;1.25199E-05;339;6.9024
339.2;1.81259E-05;339.2;6.7417
339.4;4.59092E-05;339.4;6.3381
339.6;0.000731139;339.6;5.136
339.8;6.48037E-05;339.8;6.1884
340;1.20337E-05;340;6.9196
340.2;4.63874E-06;340.2;7.3336
340.4;2.47571E-06;340.4;7.6063
340.6;1.64172E-06;340.6;7.7847
