Wavelength (nm);P-Polarized;S-Polarized;;;
827;71,03202057;70,07733917;;;
828;70,82450104;69,92532349;;;
829;70,61492157;69,76177979;;;
830;70,36710358;69,55998993;;;
831;70,20347595;69,34843445;;;
832;69,96278381;69,16207886;;;
833;69,73665619;68,94881439;;;
834;69,52531433;68,75492096;;;
835;69,28830719;68,54561615;;;
836;69,13734436;68,31407166;;;
837;68,89509583;68,09048462;;;
838;68,6738739;67,85982513;;;
839;68,37252808;67,63453674;;;
840;68,19636536;67,38754272;;;
841;68,00507355;67,14631653;;;
842;67,71541595;66,90238953;;;
843;67,54263306;66,64842224;;;
844;67,35094452;66,4031601;;;
845;67,09977722;66,134758;;;
846;66,86634064;65,86511993;;;
847;66,66754913;65,62773895;;;
848;66,40195465;65,3470459;;;
849;66,19062042;65,09357452;;;
850;65,95171356;64,84919739;;;
851;65,7324295;64,57049561;;;
852;65,47664642;64,2822876;;;
853;65,24478149;64,04133606;;;
854;65,01212311;63,78368759;;;
855;64,77709961;63,53723526;;;
856;64,56964874;63,27293396;;;
857;64,34766388;63,01599121;;;
858;64,11063385;62,76066208;;;
859;63,8158493;62,50292206;;;
860;63,6342659;62,28425598;;;
861;63,39043427;62,02177429;;;
862;63,14982224;61,76914978;;;
863;62,94521713;61,54049683;;;
864;62,70821762;61,31945801;;;
865;62,46082687;61,07388306;;;
866;62,25426865;60,85944366;;;
867;62,02428818;60,62272263;;;
868;61,78380203;60,4047699;;;
869;61,54369736;60,18270111;;;
870;61,33018112;59,96745682;;;
871;61,09661484;59,75501633;;;
872;60,8850174;59,54961777;;;
873;60,60615158;59,35565186;;;
874;60,42271423;59,16651535;;;
875;60,19913483;58,97872925;;;
876;59,9593811;58,76374817;;;
877;59,71485901;58,57843018;;;
878;59,50599289;58,40327835;;;
879;59,31459045;58,23021698;;;
880;59,05495834;58,04441071;;;
881;58,84532166;57,86525726;;;
882;58,63463974;57,68554688;;;
883;58,41056824;57,50954819;;;
884;58,1726532;57,3407402;;;
885;57,97337723;57,17353821;;;
886;57,7419281;57,00733566;;;
887;57,53188324;56,82493973;;;
888;57,33634186;56,66472244;;;
889;57,10333633;56,48844147;;;
890;56,8884964;56,29802322;;;
891;56,67588043;56,13862991;;;
892;56,46676254;55,96072769;;;
893;56,24386215;55,79132843;;;
894;56,0543251;55,63360977;;;
895;55,83559418;55,45533752;;;
896;55,61988831;55,25723648;;;
897;55,42192459;55,08001328;;;
898;55,21635437;54,89995575;;;
899;55,01314926;54,70443344;;;
900;54,81395721;54,52281189;;;
901;54,59934616;54,33691025;;;
902;54,39388657;54,12546921;;;
903;54,19306183;53,92595673;;;
904;54,00531769;53,7443161;;;
905;53,79699326;53,53403091;;;
906;53,60045624;53,34108353;;;
907;53,41435623;53,13294983;;;
908;53,20491028;52,92559433;;;
