Wavelength (nm);Optical Density;% Transmission
965;5,642351333;0,00022785
966;5,6233665;0,000238031
967;5,507391167;0,000310891
968;5,449065833;0,000355577
969;5,357797167;0,000438736
970;5,377498833;0,000419277
971;5,401024;0,00039717
972;5,429513333;0,000371952
973;5,531453167;0,000294135
974;5,500099167;0,000316156
975;5,457306667;0,000348894
976;5,4686935;0,000339865
977;5,486854167;0,000325946
978;5,510272333;0,000308836
979;5,603503833;0,00024917
980;5,6472645;0,000225287
981;5,699319167;0,000199839
982;5,687513167;0,000205346
983;5,641630333;0,000228228
984;5,620730167;0,00023948
985;5,541848833;0,000287178
986;5,5279635;0,000296508
987;5,500933833;0,000315549
988;5,500021333;0,000316212
989;5,455580833;0,000350283
990;5,452480833;0,000352792
991;5,350964333;0,000445693
992;5,347690667;0,000449065
993;5,367171667;0,000429367
994;5,3414345;0,000455581
995;5,401092333;0,000397107
996;5,511530667;0,000307942
997;5,538466;0,000289424
998;5,500329833;0,000315988
999;5,4482255;0,000356266
1000;5,5033348;0,000313809
1001;5,5351104;0,000291669
1002;5,386013;0,000411137
1003;5,3777162;0,000419067
1004;5,4249194;0,000375907
1005;5,4716264;0,000337578
1006;5,481853833;0,000329721
1007;5,446862833;0,000357386
1008;5,5037255;0,000313527
1009;5,479702;0,000331358
1010;5,479154833;0,000331776
1011;5,472544167;0,000336865
1012;5,595349667;0,000253893
1013;5,715529833;0,000192517
1014;5,741573167;0,000181312
1015;5,817672833;0,000152169
1016;5,826049833;0,000149262
1017;5,792298167;0,000161325
1018;5,6164235;0,000241867
1019;5,440370167;0,000362769
1020;5,373759167;0,000422903
1021;5,372942833;0,000423699
1022;5,474232667;0,000335558
1023;5,515660833;0,000305028
1024;5,543114667;0,000286342
1025;5,578828167;0,000263737
1026;5,603849167;0,000248972
1027;5,5114035;0,000308032
1028;5,369219833;0,000427347
1029;5,323794;0,000474467
1030;5,3541535;0,000442432
1031;5,3418302;0,000455166
1032;5,5256154;0,000298116
1033;5,5249632;0,000298564
1034;5,557824;0,000276806
1035;5,595708;0,000253683
1036;5,587526;0,000258508
1037;5,537461;0,000290094
1038;5,338264667;0,000458918
1039;5,3965635;0,00040127
1040;5,407891;0,000390939
1041;5,3807896;0,000416112
1042;5,3259706;0,000472095
1043;5,2974746;0,00050411
1044;5,3001316;0,000501035
1045;5,2105884;0,00061576
1046;5,255111833;0,000555761
1047;5,256786333;0,000553622
1048;5,276253833;0,000529354
1049;5,277696667;0,000527598
1050;5,304372833;0,000496166
1051;5,327265;0,00047069
1052;5,332833167;0,000464694
1053;5,344283833;0,000452602
1054;5,495248667;0,000319706
1055;5,521524333;0,000300937
1056;5,508313167;0,000310232
1057;5,539548167;0,000288703
1058;5,5395165;0,000288724
1059;5,517197167;0,00030395
1060;5,379953667;0,000416914
1061;5,362136833;0,000434373
1062;5,361950667;0,00043456
1063;5,312632833;0,000486819
1064;5,305302333;0,000495105
1065;5,3193965;0,000479296
1066;5,309378667;0,00049048
1067;5,292603333;0,000509796
1068;5,375708667;0,000421009
1069;5,424769333;0,000376037
1070;5,483671167;0,000328344
1071;5,5404395;0,000288111
1072;5,550245667;0,000281679
1073;5,541921833;0,00028713
1074;5,5333275;0,000292868
1075;5,564396;0,000272649
1076;5,5132;0,000306761
1077;5,4303808;0,00037121
1078;5,4546292;0,000351051
1079;5,5119392;0,000307653
1080;5,4584748;0,000347957
1081;5,3686472;0,00042791
1082;5,3686472;0,00042791
1083;5,4192604;0,000380837
1084;5,422045;0,000378403
1085;5,3593986;0,000437121
1086;5,3928484;0,000404717
1087;5,375412;0,000421297
1088;5,375412;0,000421297
1089;5,3528344;0,000443778
1090;5,4099812;0,000389062
1091;5,4317578;0,000370034
1092;5,40107;0,000397128
1093;5,4094334;0,000389553
1094;5,442981167;0,000360594
1095;5,422286833;0,000378193
1096;5,552816;0,000280017
1097;5,639023167;0,000229603
1098;5,6695245;0,00021403
