Wavelength (nm);P-Polarized;S-Polarized;;;
1021;37,5508728;43,81168365;;;
1022;37,50322342;43,76815033;;;
1023;37,45431137;43,72598267;;;
1024;37,40844727;43,6856842;;;
1025;37,36275864;43,64891815;;;
1026;37,31457901;43,60651398;;;
1027;37,26755142;43,56858444;;;
1028;37,2223053;43,5238266;;;
1029;37,17609787;43,48992538;;;
1030;37,13030624;43,44792938;;;
1031;37,08757401;43,40592957;;;
1032;37,04471588;43,36579895;;;
1033;36,99874115;43,32699203;;;
1034;36,95819092;43,2893219;;;
1035;36,91571426;43,2481308;;;
1036;36,87128448;43,21250916;;;
1037;36,83156586;43,17681503;;;
1038;36,79207611;43,14102554;;;
1039;36,75177765;43,10482025;;;
1040;36,71366501;43,0721283;;;
1041;36,67133713;43,03665161;;;
1042;36,63179398;43,00439453;;;
1043;36,5983696;42,96907425;;;
1044;36,56031799;42,94010162;;;
1045;36,52236557;42,90919876;;;
1046;36,48723984;42,88024902;;;
1047;36,45025635;42,85043335;;;
1048;36,4168663;42,82506561;;;
1049;36,38651657;42,8015213;;;
1050;36,96814346;40,88518143;;;
1051;36,88643265;40,81711197;;;
1052;36,86826324;40,80631638;;;
1053;36,84159851;40,77186966;;;
1054;36,79324341;40,73834229;;;
1055;36,80864716;40,72038269;;;
1056;36,7447052;40,70493317;;;
1057;36,74218369;40,66479111;;;
1058;36,70214462;40,66674805;;;
1059;36,72016907;40,62267303;;;
1060;36,64121246;40,59888458;;;
1061;36,6859169;40,57972717;;;
1062;36,63680267;40,55675888;;;
1063;36,6114502;40,51779556;;;
